,GB_Acession,Original,Access..No,Museum,Added.to.Database,Website,Family,Genus,Species,Endemic,Locality,Latitude,Longitude,SpecName
74,NA,384667,384667,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659519,Numididae,Numida,meleagris,,Toliara,-22.68,44.82,Numida_meleagris_FMNH384667_16S
75,NA,396238,396238,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1671087,Columbidae,Oena,capensis,N - SUBSPECIES ENDEMIC,Fianarantsoa,-22.54,45.38,Oena_capensis_FMNH396238_16S
76,NA,FMNH356684,356684,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1631502,Vangidae,Oriolia,bernieri,Y,Toamasina,-15,49.93,Oriolia_bernieri_FMNH356684_16S
78,NA,FMNH396172,396172,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1671021,Bernieridae,Oxylabes,madagascariensis,Y,Antsiranana,-14,48.43,Oxylabes_madagascariensis_FMNH396172_16S
79,NA,436517,436517,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711241,Hirundinidae,Phedina,borbonica,N - WEST INDIAN ISLANDS,Mahajanga,-16.43,45.4,Phedina_borbonica_FMNH436517_16S
80,NA,MJR1233,MJR1233,UADBA,8/12/24,,Philepittidae,Philepitta,castanea,Y,,-15.56,50.28,Philepitta_castanea_UADBAMJR1233_16S
81,NA,DW5317,431191,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1705920,Philepittidae,Philepitta,schlegeli,Y,Toliara,-19.13,44.8,Philepitta_schlegeli_FMNH431191_16S
82,NA,SMG10756,396113,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1670962,Ploceidae,Ploceus,nelicourvi,Y,Antsiranana,-14,48.43,Ploceus_nelicourvi_FMNH396113_16S
83,NA,SMG4123,352987,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1627804,Ploceidae,Ploceus,sakalava,Y,Toliara,-24,46.52,Ploceus_sakalava_FMNH352987_16S
84,NA,FMNH356702,356702,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1631520,Vangidae,Pseudobias,wardi,Y,Toamasina,-18.93,48.42,Pseudobias_wardi_FMNH356702_16S
86,NA,FMNH479641,479641,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/2146933,Bernieridae,Randia,pseudozosterops,Y,Fianarantsoa,-21.24,47.4,Randia_pseudozosterops_FMNH479641_16S
87,NA,384801,384801,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659653,Hirundinidae,Riparia,paludicola,,Fianarantsoa,-22.18,46.9,Riparia_paludicola_FMNH384801_16S
89,NA,384729,384729,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659581,Rallidae,Sarothrura,insularis,Y,Antsiranana,-12.58,49.15,Sarothrura_insularis_FMNH384729_16S
90,NA,TPG1582,393333,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668182,Muscicapidae,Saxicola,torquata,,Fianarantsoa,-22.15,47.02,Saxicola_torquata_FMNH393333_16S
91,NA,FMNH436519,436519,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711243,Vangidae,Schetba,rufa,Y,Mahajanga,-16.43,45.4,Schetba_rufa_FMNH436519_16S
93,NA,396065,396065,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1670914,Apodidae,Tachymarptis,melba,,Antananarivo,-18.17,47.28,Tachymarptis_melba_FMNH396065_16S
94,NA,FMNH436460,436460,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711185,Monarchidae,Terpsiphone,mutata,N - WEST INDIAN ISLANDS,Toliara,-22.77,43.52,Terpsiphone_mutata_FMNH436460_16S
95,NA,MJR0554,MJR0554,UADBA,8/12/24,,Bernieridae,Thamnornis,chloropetoides,Y,,-20.94,43.87,Thamnornis_chloropetoides_UADBAMJR0554_16S
97,NA,436420,436420,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1711145,Turnicidae,Turnix,nigricollis,Y,Toliara,-22.77,43.52,Turnix_nigricollis_FMNH436420_16S
100,NA,SMG4096,352820,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668182,Upupidae,Upupa,epops,N - SUBSPECIES ENDEMIC,Fianarantsoa,-22.15,47.02,Upupa_epops_FMNH352820_16S
101,NA,FMNH434668,434668,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1709393,Vangidae,Vanga,curvirostris,Y,Mahajanga,-16.3,46.82,Vanga_curvirostris_FMNH434668_16S
102,NA,FMNH393162,393162,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668011,Bernieridae,Xanthomixis,apperti,Y,Toliara,-22.68,44.19,Xanthomixis_apperti_FMNH393162_16S
103,NA,FMNH393287,393287,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668136,Bernieridae,Xanthomixis,cinereiceps,Y,Antsiranana,-14.54,49.43,Xanthomixis_cinereiceps_FMNH393287_16S
104,NA,FMNH393278,393278,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668127,Bernieridae,Xanthomixis,tenebrosa,Y,Antsiranana,-14.54,49.44,Xanthomixis_tenebrosa_FMNH393278_16S
105,NA,FMNH384740,384740,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659592,Bernieridae,Xanthomixis,zosterops,Y,Antsiranana,-14.43,49.75,Xanthomixis_zosterops_FMNH384740_16S
106,NA,FMNH434675,434675,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1709400,Vangidae,Xenopirostris,polleni,Y,Fianarantsoa,-21.25,47.42,Xenopirostris_polleni_FMNH434675_16S
107,NA,FMNH356665,356665,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1631483,Vangidae,Xenopirostris,xenopirostris,Y,Toliara,-23,43.62,Xenopirostris_xenopirostris_FMNH356665_16S
108,NA,MJR1268,MJR1268,UADBA,8/12/24,,Zosteropidae,Zosterops,maderaspatanus,N - WEST INDIAN ISLANDS,,-18.25,47.57,Zosterops_maderaspatanus_UADBAMJR1268_16S
109,DQ674596,NA_NA,NA,NA,NA,NA,Mesitornithidae,Mesitornis,unicolor,NA,NA,NA,NA,Mesitornis_unicolor_DQ674596_NA_NA_16S
110,JQ239191,FMNH_356676,356676,FMNH,NA,NA,Vangidae,Artamella,viridis,NA,NA,NA,NA,Artamella_viridis_JQ239191_FMNH_356676_16S
111,JQ239196,FMNH_346779,346779,FMNH,NA,NA,Corvidae,Oriolus,larvatus,NA,NA,NA,NA,Oriolus_larvatus_JQ239196_FMNH_346779_16S
112,JQ239200,FMNH_356702,356702,FMNH,NA,NA,Platysteiridae,Pseudobias,wardi,NA,NA,NA,NA,Pseudobias_wardi_JQ239200_FMNH_356702_16S
113,KF060349,FMNH_352844,352844,FMNH,NA,NA,Alaudidae,Eremopterix,hova,NA,NA,NA,NA,Eremopterix_hova_KF060349_FMNH_352844_16S
115,KJ749825,MNZ_S38300,S38300,MNZ,NA,NA,Aepyornithidae,Mullerornis,agilis,NA,NA,NA,NA,Mullerornis_agilis_KJ749825_MNZ_S38300_16S
116,KY412176,NA_NA,NA,NA,NA,NA,Aepyornithidae,Aepyornis,sp.,NA,NA,NA,NA,Aepyornis_sp._KY412176_NA_NA_16S
117,MN196537,NA_NA,NA,NA,NA,NA,Threskiornithidae,Threskiornis,aethiopicus,NA,NA,NA,NA,Threskiornis_aethiopicus_MN196537_NA_NA_16S
118,MW574377,FMNH_384730,384730,FMNH,NA,NA,Phasianidae,Margaroperdix,madagarensis,NA,NA,NA,NA,Margaroperdix_madagarensis_MW574377_FMNH_384730_16S
122,OP413793,_AD2110,AD2110,,NA,NA,Aepyornithidae,Mullerornis,modestus,NA,NA,NA,NA,Mullerornis_modestus_OP413793__AD2110_16S
124,OP413795,_AD276,AD276,,NA,NA,Aepyornithidae,Mullerornis,modestus,NA,NA,NA,NA,Mullerornis_modestus_OP413795__AD276_16S
127,OP413798,_AD1293,AD1293,,NA,NA,Aepyornithidae,Aepyornis,sp.,NA,NA,NA,NA,Aepyornis_sp._OP413798__AD1293_16S
134,OP413805,_AD1666,AD1666,,NA,NA,Aepyornithidae,Aepyornis,maximus,NA,NA,NA,NA,Aepyornis_maximus_OP413805__AD1666_16S
136,OP413807,_AD1664,AD1664,,NA,NA,Aepyornithidae,Aepyornis,maximus,NA,NA,NA,NA,Aepyornis_maximus_OP413807__AD1664_16S
138,OP413809,_AD1662,AD1662,,NA,NA,Aepyornithidae,Aepyornis,maximus,NA,NA,NA,NA,Aepyornis_maximus_OP413809__AD1662_16S
139,OP413810,_AD2667,AD2667,,NA,NA,Aepyornithidae,Aepyornis,maximus,NA,NA,NA,NA,Aepyornis_maximus_OP413810__AD2667_16S
